"","index","ActivityName","angle.tBodyAccJerkMean..gravityMean.","angle.tBodyGyroMean.gravityMean.","angle.tBodyGyroJerkMean.gravityMean.","angle.X.gravityMean.","angle.Y.gravityMean.","angle.Z.gravityMean."
"26",26,"STANDING",0.066502648,-0.22631551,-0.22535799,-0.76219671,0.26209013,0.029403668
"27",27,"STANDING",0.42928253,0.68115429,0.81522562,-0.76370208,0.26110336,0.028562963
"28",28,"SITTING",0.043354353,0.021485361,0.046689153,-0.66708465,0.054216165,-0.21887457
"29",29,"SITTING",-0.14805562,0.033529451,-0.12702787,-0.56480737,-0.027044798,-0.26605456
"30",30,"SITTING",-0.097214562,0.024191641,0.0063291237,-0.57936742,-0.021566893,-0.2575301
"31",31,"SITTING",0.077594975,0.05634828,-0.31672663,-0.58280626,-0.020755925,-0.25526977
"32",32,"SITTING",0.11443621,-0.07078246,-0.0014609828,-0.5529392,-0.053538987,-0.26042439
"33",33,"SITTING",0.033987522,-0.036067731,0.20511256,-0.41836808,-0.14254902,-0.30588383
"34",34,"SITTING",0.09462246,0.029126625,-0.13424521,-0.30588411,-0.21333904,-0.33700092
"35",35,"SITTING",-0.13137498,0.07763988,-0.037327157,-0.30919487,-0.22111662,-0.32645795
"36",36,"SITTING",0.30092387,0.11765544,-0.046454587,-0.3167322,-0.21772934,-0.32332877
"37",37,"SITTING",0.55931755,0.14252698,-0.016025225,-0.31457502,-0.2189352,-0.32398842
"38",38,"SITTING",0.32451133,0.16126969,0.19214051,-0.31488562,-0.21916689,-0.32348431
"39",39,"SITTING",-0.050327903,0.58427998,-0.42619826,-0.65435613,0.0061411057,-0.21275283
"40",40,"SITTING",-0.19260855,0.61787351,-0.51240546,-0.65078203,-0.0030485384,-0.21119617
"41",41,"SITTING",-0.23515452,0.6898658,-0.57356057,-0.64514606,-0.013061244,-0.21042962
"42",42,"SITTING",0.10676135,0.90058887,-0.79404589,-0.64657849,-0.012405519,-0.20965049
"43",43,"SITTING",0.25128679,-0.50686484,-0.58307176,-0.64706219,-0.011866506,-0.20955912
"44",44,"SITTING",0.11245051,-0.51991455,-0.1345512,-0.64510509,-0.014516278,-0.20966409
"45",45,"SITTING",-0.37842415,-0.64146618,0.34144511,-0.64633366,-0.014783523,-0.20853819
"46",46,"SITTING",0.33145252,-0.69379323,0.39525282,-0.64799745,-0.014168187,-0.20755542
"47",47,"SITTING",0.37117217,-0.50042806,0.45499243,-0.64625395,-0.016451134,-0.20766551
"48",48,"SITTING",-0.3455624,0.28920185,0.35513802,-0.64604389,-0.016965715,-0.20754128
"49",49,"SITTING",-0.28682071,0.78579004,-0.30085729,-0.6448514,-0.017046458,-0.20844898
"50",50,"SITTING",0.63738869,-0.081017137,-0.18724907,-0.64322033,-0.018360329,-0.20900476
"51",51,"SITTING",0.26602165,0.28531486,0.46516674,-0.64545984,-0.017047243,-0.20796204
"52",52,"LAYING",-0.043105439,-0.33224851,0.48750525,0.43247853,-0.55335148,-0.43287564
"53",53,"LAYING",0.2230381,-0.39307466,0.35903715,0.39985328,-0.55036444,-0.42759273
"54",54,"LAYING",-0.018634898,-0.24697972,0.45392312,0.39906577,-0.54672465,-0.43124421
"55",55,"LAYING",0.14980436,0.39361091,0.38671913,0.39955483,-0.54647681,-0.43164599
"56",56,"LAYING",-0.46915484,0.30885489,-0.35414624,0.3988886,-0.54671226,-0.43120727
"57",57,"LAYING",-0.68930255,0.3970348,-0.31091061,0.39889738,-0.54685884,-0.43105379
"58",58,"LAYING",0.62643178,0.26340094,-0.64622507,0.39888109,-0.54671715,-0.43119994
"59",59,"LAYING",0.24170201,-0.011946523,-0.096104861,0.39877771,-0.54624972,-0.43166802
"60",60,"LAYING",-0.28293035,0.54143233,0.72789465,0.39801973,-0.54555047,-0.43219711
"61",61,"LAYING",0.4471505,0.079283632,-0.10864223,0.39713425,-0.54467991,-0.43287147
"62",62,"LAYING",-0.54438787,-0.22899482,-0.0394232,0.3973035,-0.54419774,-0.43343266
"63",63,"LAYING",-0.66501733,0.77209584,0.77533358,0.39775801,-0.54444236,-0.43330166
"64",64,"LAYING",0.31062453,0.66355547,0.33782105,0.39779057,-0.54399111,-0.43379089
"65",65,"LAYING",0.061567529,-0.51443817,0.24094286,0.20575936,-0.53610387,-0.36073577
"66",66,"LAYING",-0.52867805,-0.47888762,0.38887011,0.27854399,-0.54409199,-0.38929322
"67",67,"LAYING",0.039215644,-0.49530282,0.082695923,0.27208294,-0.53412217,-0.39742768
"68",68,"LAYING",-0.0023661425,-0.10187764,0.5432066,0.37879154,-0.48844315,-0.48705651
"69",69,"LAYING",0.12117887,0.0027494525,0.09802774,0.50238617,-0.43127083,-0.57287374
"70",70,"LAYING",-0.39140411,0.41359636,0.051019612,0.49453529,-0.46594003,-0.53580206
"71",71,"LAYING",0.14960236,0.12724505,0.19285207,0.50873322,-0.49613177,-0.50619728
"72",72,"LAYING",0.43253974,-0.083445798,0.025647796,0.66828427,-0.3366412,-0.67268482
"73",73,"LAYING",0.26718947,-0.18620193,0.098098759,0.79297021,-0.034019619,-0.92814826
"74",74,"LAYING",0.022634024,-0.051352659,0.15633378,0.79692828,0.12501854,-0.97719373
"75",75,"LAYING",-0.11511494,-0.044386256,0.058185081,0.79739372,0.13180225,-0.97526294
"76",76,"LAYING",0.56561658,-0.010565179,0.046694737,0.79917435,0.11596031,-0.97723061
"77",77,"LAYING",-0.19193509,0.3777409,0.071105431,0.79725696,0.11174753,-0.97914858
"78",78,"LAYING",-0.47911601,0.26332158,-0.41201595,0.79641242,0.1079178,-0.98014271
"79",79,"WALKING",0.56473632,0.91247322,-0.41283607,-0.77370661,0.25243212,0.044098743
"80",80,"WALKING",0.50660939,-0.70005302,-0.84094295,-0.76716315,0.25691881,0.044637597
"81",81,"WALKING",-0.10618357,-0.92383533,0.34445919,-0.75741393,0.2644517,0.039416823
"82",82,"WALKING",-0.58207333,-0.88634874,0.063337412,-0.76253431,0.26085042,0.03973498
"83",83,"WALKING",0.65684208,-0.29120005,0.077922024,-0.76396808,0.25962894,0.041412489
"84",84,"WALKING",0.011124233,0.27225381,0.20734525,-0.76618572,0.25825832,0.040128173
"85",85,"WALKING",-0.55225485,0.20524431,0.37750041,-0.77667683,0.2512184,0.038105042
"86",86,"WALKING",0.5515122,-0.2214606,-0.68819132,-0.78422533,0.24608543,0.037162294
"87",87,"WALKING",0.46159389,0.92173483,-0.36722405,-0.7601763,0.26295137,0.035725938
"88",88,"WALKING",0.52565944,0.50002769,-0.64330959,-0.76411341,0.25875981,0.046412684
"89",89,"WALKING",-0.8490253,-0.3573275,-0.17031316,-0.76548846,0.25819326,0.043972437
"90",90,"WALKING",-0.75918859,-0.27099476,0.20183852,-0.76460055,0.25932627,0.040396555
"91",91,"WALKING",0.64827164,0.30336778,0.82213587,-0.76024173,0.2615288,0.04604602
"92",92,"WALKING",0.25725166,0.076090927,-0.12342479,-0.75288184,0.26672866,0.045691901
"93",93,"WALKING",-0.35621295,-0.40372804,-0.16908718,-0.75597648,0.2649955,0.042851381
"94",94,"WALKING",0.66857957,-0.45945502,0.29156957,-0.76399734,0.25941575,0.042765051
"95",95,"WALKING",-0.44826785,-0.57921451,0.83663794,-0.76801471,0.25690064,0.040754297
"96",96,"WALKING",-0.71003497,0.12101795,-0.023407756,-0.76947723,0.25616716,0.038575391
"97",97,"WALKING",0.8332005,0.45768198,0.21152652,-0.77673604,0.25140647,0.036180384
"98",98,"WALKING",0.76516157,0.4247569,0.16746267,-0.78696273,0.24447112,0.034676619
"99",99,"WALKING",0.51281049,-0.81151796,0.58162436,-0.76418507,0.26056458,0.031442044
"100",100,"WALKING",-0.20565207,-0.28260079,0.20717511,-0.75699771,0.26332065,0.048844258
"101",101,"WALKING",-0.49741856,0.1623525,-0.40839732,-0.75073949,0.26801857,0.046982881
"102",102,"WALKING",0.40158125,-0.038345181,-0.59363242,-0.74996259,0.26915125,0.04310044
"103",103,"WALKING",-0.35811766,-0.025813658,0.81016875,-0.75120873,0.26841942,0.042116144
"104",104,"WALKING",0.64442513,0.42702112,0.69713795,-0.75218118,0.26797457,0.040347067
"105",105,"WALKING",0.22824358,0.27738394,-0.3181535,-0.7619169,0.26152893,0.037684434
"106",106,"WALKING",-0.76058469,0.53523006,-0.95704997,-0.77319853,0.25403912,0.034528797
"107",107,"WALKING",0.1470973,-0.33879548,-0.45447474,-0.77733154,0.25108876,0.035313655
"108",108,"WALKING",0.47631361,-0.55060078,0.38929078,-0.77943645,0.24935545,0.037651666
"109",109,"WALKING",-0.57920427,-0.52120301,0.81051739,-0.77000474,0.25555509,0.040457219
"110",110,"WALKING",-0.47110605,0.077417664,0.23720933,-0.7560886,0.26439169,0.046294293
"111",111,"WALKING",0.37374111,0.59714629,-0.25718761,-0.75778247,0.26295042,0.047822052
"112",112,"WALKING",-0.23093314,0.95537902,-0.60320895,-0.75507581,0.26481403,0.048003415
"113",113,"WALKING",0.31939064,0.94611355,-0.029271039,-0.74751728,0.26945243,0.051664332
"114",114,"WALKING",-0.7654997,0.81045343,0.090854819,-0.75069611,0.26826977,0.045597275
"115",115,"WALKING",0.65303539,0.66434419,0.68168783,-0.75566247,0.2654056,0.041470049
"116",116,"WALKING",0.4245158,-0.28466332,-0.02191848,-0.76618025,0.25860267,0.037375875
"117",117,"WALKING",-0.30020595,-0.81356582,-0.88840398,-0.76954206,0.25658101,0.03447432
"118",118,"WALKING",0.39849935,-0.44781597,-0.57907084,-0.7719047,0.25505965,0.033260354
"119",119,"WALKING",-0.19248754,-0.35235942,0.30934178,-0.77791642,0.25093636,0.032785826
"120",120,"WALKING",-0.36738433,-0.27464465,0.29281557,-0.77476745,0.25301468,0.033888562
"121",121,"WALKING",-0.49260697,0.61509501,0.34694004,-0.77410047,0.25368941,0.031546631
"122",122,"WALKING",-0.58315439,0.12118408,-0.14003014,-0.78088346,0.24898628,0.031598306
"123",123,"WALKING",0.62360422,-0.29983873,0.17593404,-0.78315381,0.2467452,0.037846728
"124",124,"WALKING",0.57129985,0.14377925,0.24049455,-0.77995361,0.24786871,0.045255654
"125",125,"WALKING",-0.57121845,0.43589524,-0.4359208,-0.77136308,0.25333715,0.048346543
"126",126,"WALKING_DOWNSTAIRS",-0.58219156,0.046130951,-0.11267281,-0.76834002,0.25671218,0.04047408
"127",127,"WALKING_DOWNSTAIRS",0.31599328,0.78368616,-0.28801006,-0.79076448,0.24204769,0.032582417
"128",128,"WALKING_DOWNSTAIRS",0.65302246,0.97222546,0.53088187,-0.80223567,0.23416634,0.03181717
"129",129,"WALKING_DOWNSTAIRS",0.068551448,0.9559579,-0.61674812,-0.80361895,0.23163941,0.0432366
"130",130,"WALKING_DOWNSTAIRS",0.43260954,-0.94339025,0.10783032,-0.80066823,0.2330244,0.046864574
"131",131,"WALKING_DOWNSTAIRS",-0.11667228,0.97504002,0.59427029,-0.81288865,0.22555373,0.040876867
"132",132,"WALKING_DOWNSTAIRS",-0.044056353,-0.7381244,-0.57629736,-0.81139678,0.2254286,0.047016364
"133",133,"WALKING_DOWNSTAIRS",0.013802323,-0.96012461,-0.081783026,-0.80292139,0.23205458,0.04364982
"134",134,"WALKING_DOWNSTAIRS",-0.31511598,-0.96052104,0.6780769,-0.81063529,0.22840498,0.031154035
"135",135,"WALKING_DOWNSTAIRS",-0.70599428,0.97719878,-0.17469092,-0.74616191,0.26903773,0.058288331
"136",136,"WALKING_DOWNSTAIRS",0.63529226,0.90550674,0.34340883,-0.76198546,0.26221497,0.029717335
"137",137,"WALKING_DOWNSTAIRS",0.73119969,0.93544907,-0.10169421,-0.75577641,0.26627029,0.032871071
"138",138,"WALKING_DOWNSTAIRS",-0.96475986,0.79868342,-0.48699185,-0.74364203,0.27312025,0.04607592
"139",139,"WALKING_DOWNSTAIRS",0.4357557,-0.95471837,0.777159,-0.74323259,0.27399058,0.041975445
"140",140,"WALKING_DOWNSTAIRS",0.89406394,0.81262226,-0.42418728,-0.75071346,0.26723556,0.051523193
"141",141,"WALKING_DOWNSTAIRS",-0.80086552,-0.8498753,-0.69890601,-0.75537696,0.26391824,0.051741178
"142",142,"WALKING_DOWNSTAIRS",-0.091058847,-0.92661511,0.43406952,-0.77116188,0.25543401,0.0347066
"143",143,"WALKING_DOWNSTAIRS",-0.15287033,0.98528388,-0.25487954,-0.73992624,0.2749719,0.050583388
"144",144,"WALKING_DOWNSTAIRS",0.78561174,0.89384002,0.70163071,-0.75769767,0.26469515,0.035488357
"145",145,"WALKING_DOWNSTAIRS",-0.59749347,0.88926742,-0.31500941,-0.76622434,0.25845668,0.038349993
"146",146,"WALKING_DOWNSTAIRS",0.34048259,0.60283,-0.56106925,-0.75066909,0.26901477,0.0404382
"147",147,"WALKING_DOWNSTAIRS",0.63455565,0.75106907,0.43428316,-0.75120111,0.26985222,0.02665056
"148",148,"WALKING_DOWNSTAIRS",0.47576979,0.90680065,-0.3718553,-0.768861,0.25640384,0.040068354
"149",149,"WALKING_DOWNSTAIRS",-0.71249167,-0.87252148,-0.75581112,-0.7628088,0.25777357,0.056051285
"150",150,"WALKING_DOWNSTAIRS",-0.63506503,-0.92045544,0.29352932,-0.77094316,0.25499331,0.039774255
"151",151,"WALKING_UPSTAIRS",-0.51505756,-0.96080814,0.7985946,-0.73017965,0.2757426,0.07579027
"152",152,"WALKING_UPSTAIRS",-0.3667143,-0.93236073,0.25738996,-0.69548078,0.30321441,0.06548249
"153",153,"WALKING_UPSTAIRS",-0.23543106,-0.90487149,-0.52482434,-0.68162013,0.31183747,0.070519284
"154",154,"WALKING_UPSTAIRS",-0.41396963,-0.96882118,-0.13238444,-0.68671499,0.30824283,0.07046834
"155",155,"WALKING_UPSTAIRS",0.45574436,0.77762772,-0.057846298,-0.69326684,0.30613251,0.058967406
"156",156,"WALKING_UPSTAIRS",0.17975753,-0.81893707,-0.056916321,-0.69838906,0.30487801,0.04432452
"157",157,"WALKING_UPSTAIRS",-0.19936679,0.68445055,0.7619962,-0.70225292,0.3030356,0.036457046
"158",158,"WALKING_UPSTAIRS",0.27991467,0.98410874,0.60052315,-0.69189005,0.30912876,0.046414441
"159",159,"WALKING_UPSTAIRS",-0.81783331,-0.96326651,-0.90429865,-0.69766239,0.30165425,0.065570448
"160",160,"WALKING_UPSTAIRS",-0.1428426,-0.9582639,-0.76743671,-0.6624351,0.32717524,0.061988673
"161",161,"WALKING_UPSTAIRS",0.57852942,-0.9504282,0.71558502,-0.65764544,0.33047549,0.062285324
"162",162,"WALKING_UPSTAIRS",0.66116597,-0.93145881,0.70074975,-0.65803196,0.33079212,0.059060388
"163",163,"WALKING_UPSTAIRS",-0.66155416,-0.34486379,-0.70088839,-0.6622363,0.32785803,0.05902543
"164",164,"WALKING_UPSTAIRS",-0.64740618,-0.75325266,0.14181552,-0.66711711,0.32503511,0.055574652
"165",165,"WALKING_UPSTAIRS",-0.48869251,0.90446074,0.8452506,-0.66740046,0.32488244,0.055298125
"166",166,"WALKING_UPSTAIRS",-0.28614214,0.97446978,-0.3648809,-0.65349636,0.33266801,0.065948064
"167",167,"WALKING_UPSTAIRS",-0.046210397,0.89138134,-0.66297018,-0.64409123,0.33851074,0.069627037
"168",168,"WALKING_UPSTAIRS",0.65911929,-0.98446146,0.6745563,-0.6951592,0.3046152,0.059935331
"169",169,"WALKING_UPSTAIRS",0.49148199,-0.93148578,-0.11666241,-0.66946551,0.32223489,0.062046429
"170",170,"WALKING_UPSTAIRS",-0.1929279,-0.9617746,0.134304,-0.66297323,0.3267754,0.062107659
"171",171,"WALKING_UPSTAIRS",-0.36869434,-0.82309387,0.52815428,-0.66245366,0.32884307,0.051988307
"172",172,"WALKING_UPSTAIRS",-0.6125359,0.8438726,-0.3301331,-0.67139987,0.32196274,0.056063969
"173",173,"WALKING_UPSTAIRS",-0.69596236,-0.79106077,-0.10787926,-0.67401303,0.31895999,0.062474717
"174",174,"WALKING_UPSTAIRS",-0.78134994,0.49894968,0.83639545,-0.67132627,0.32217212,0.055110737
"175",175,"WALKING_UPSTAIRS",0.88892135,0.9748135,-0.48819893,-0.67025574,0.32338923,0.052108254
"176",176,"WALKING_UPSTAIRS",0.93889357,0.96284575,-0.83677329,-0.66780836,0.32367924,0.060558758
"177",177,"STANDING",-0.13718633,-0.07401622,0.022322308,-0.68758294,0.31384947,0.01011299
"178",178,"STANDING",0.098199998,-0.28162935,-0.19425844,-0.6766057,0.32153802,0.014515193
"179",179,"STANDING",-0.27618466,-0.42210143,0.42853895,-0.68048708,0.31888283,0.017799085
"180",180,"STANDING",0.0027163858,-0.078145291,-0.6322433,-0.68619309,0.31490527,0.013691468
"181",181,"STANDING",-0.095086337,-0.050689182,-0.0047164604,-0.69201661,0.31090508,0.014964118
"182",182,"STANDING",0.027412898,-0.20960312,0.5906994,-0.68794328,0.31373338,0.01680354
"183",183,"STANDING",0.089988168,0.46428678,0.17775453,-0.67958604,0.31949771,0.01961812
"184",184,"STANDING",-0.085646783,0.17284861,-0.55360477,-0.6790157,0.31982772,0.023479353
"185",185,"STANDING",-0.72480872,-0.25227082,-0.65092773,-0.68062271,0.31871103,0.023753058
"186",186,"STANDING",-0.36823755,0.4662992,-0.30283138,-0.68100363,0.31847137,0.022789621
"187",187,"STANDING",0.88918291,0.38105975,-0.66521826,-0.68043619,0.3188366,0.023873965
"188",188,"STANDING",0.18846312,-0.77029175,-0.96593516,-0.68098471,0.31841571,0.025274454
"189",189,"STANDING",-0.045915955,-0.70710765,0.75697667,-0.6817239,0.31791099,0.025098201
"190",190,"STANDING",0.051640438,0.66503384,0.6978666,-0.67929492,0.3195845,0.025221043
"191",191,"STANDING",0.0034231372,-0.054754888,0.018213871,-0.65124697,0.33663542,0.052067472
"192",192,"STANDING",0.0016007097,0.073096266,0.034849186,-0.68506822,0.31444188,0.041623348
"193",193,"STANDING",0.098201817,0.14324615,-0.22481975,-0.68125025,0.31683141,0.043941874
"194",194,"STANDING",-0.25383534,-0.4176409,0.12042845,-0.67884758,0.31814719,0.046814074
"195",195,"STANDING",0.14755993,-0.10237399,0.24058735,-0.67854439,0.31858003,0.045039815
"196",196,"STANDING",0.36968302,0.1332106,-0.29510741,-0.67475318,0.3211037,0.045940993
"197",197,"STANDING",0.19362907,-0.079225517,-0.14071625,-0.67271545,0.32210519,0.049120769
"198",198,"STANDING",-0.22478485,0.57194267,0.51854371,-0.6738962,0.32102549,0.050938882
"199",199,"STANDING",0.060110753,0.12535657,-0.73318011,-0.67461259,0.32039249,0.051842136
"200",200,"STANDING",-0.17252289,-0.60514419,-0.92404508,-0.67548134,0.31978158,0.051877598
"201",201,"STANDING",-0.1132735,-0.4813523,0.6678405,-0.6771266,0.31874423,0.051146057
"202",202,"STANDING",-0.038355824,0.502899,0.7920501,-0.67817866,0.31805261,0.050865197
"203",203,"SITTING",0.055354542,0.026710708,0.087709768,-0.49836738,-0.13014451,-0.24711421
"204",204,"SITTING",-0.22557966,0.026054289,-0.030513329,-0.49840221,-0.14479274,-0.23258583
"205",205,"SITTING",0.23011627,0.016912386,-0.033570089,-0.51262349,-0.13508295,-0.22913879
"206",206,"SITTING",0.35880448,-0.032778372,-0.08213084,-0.50918519,-0.13689363,-0.23053226
"207",207,"SITTING",-0.16865654,-0.080069335,0.11226365,-0.50961215,-0.13694797,-0.23007489
"208",208,"SITTING",0.1204378,-0.044956021,0.18634987,-0.50987777,-0.13670326,-0.23007427
"209",209,"SITTING",0.38729149,-0.054848355,-0.20643432,-0.50864437,-0.13767151,-0.23024794
"210",210,"SITTING",-0.087333575,-0.013407843,-0.27824649,-0.5093005,-0.13755096,-0.22975252
"211",211,"SITTING",0.76215266,-0.21077356,0.021056765,-0.51060024,-0.13724409,-0.22883996
"212",212,"SITTING",-0.40045489,0.37211879,0.32891426,-0.51071551,-0.13747018,-0.22849892
"213",213,"SITTING",-0.7427346,0.67705907,0.36596223,-0.51046111,-0.13740687,-0.22880441
"214",214,"LAYING",-0.169669,-0.32866121,0.39495665,0.319305,-0.58771761,-0.35850989
"215",215,"LAYING",0.032440249,-0.31966627,0.24647806,0.2893005,-0.58428327,-0.3488254
"216",216,"LAYING",-0.23618388,-0.29927181,0.35300313,0.27854931,-0.57777093,-0.35110356
"217",217,"LAYING",0.94585324,0.42434033,0.3085614,0.27813235,-0.57805995,-0.35056627
"218",218,"LAYING",0.17982271,0.31798145,-0.54269962,0.27705205,-0.5781225,-0.34996235
"219",219,"LAYING",-0.42828951,0.41950589,0.12382634,0.2767261,-0.57817875,-0.34973662
"220",220,"LAYING",0.57163493,0.36261124,-0.67549796,0.27641877,-0.57772171,-0.35011159
"221",221,"LAYING",0.44162826,-0.21255616,-0.49851324,0.27630488,-0.57760254,-0.35019265
"222",222,"LAYING",-0.77063046,-0.57478634,0.84413854,0.27664001,-0.57782385,-0.35010314
"223",223,"LAYING",-0.097340811,-0.7952737,0.041104913,0.27650352,-0.57768574,-0.35019491
"224",224,"LAYING",0.090709232,0.86633615,-0.62740669,0.27682914,-0.57746589,-0.35060889
"225",225,"LAYING",0.17112565,-0.89361926,0.8252901,0.27645911,-0.5774644,-0.35042803
"226",226,"SITTING",-0.022967436,0.51813774,-0.83238198,-0.73369356,0.034761896,-0.16400404
"227",227,"SITTING",-0.095318874,0.49114338,-0.45994301,-0.76153551,0.018601993,-0.1347856
"228",228,"SITTING",0.09674662,0.51280924,-0.47786294,-0.74944192,0.017871488,-0.14409832
"229",229,"SITTING",0.045630196,0.65754275,-0.51251886,-0.7404593,0.014641909,-0.14953969
"230",230,"SITTING",0.01695341,-0.36692544,-0.47795958,-0.73730326,0.010155365,-0.14958441
"231",231,"SITTING",-0.29273988,-0.51245676,0.37314808,-0.73720647,0.0094325248,-0.14924849
"232",232,"SITTING",-0.15329896,-0.48024057,0.2272144,-0.7353437,0.0076223379,-0.14970865
"233",233,"SITTING",-0.11415961,-0.42128341,0.445952,-0.73410939,0.005038982,-0.1491778
"234",234,"SITTING",-0.79769799,-0.27676147,0.015448073,-0.73441166,0.0046902748,-0.14871851
"235",235,"SITTING",0.19054606,0.036059285,-0.11137439,-0.73353702,0.0036063741,-0.14877367
"236",236,"SITTING",0.41896701,0.27145313,-0.28831806,-0.73394659,0.0030167146,-0.14807169
"237",237,"SITTING",0.05456295,0.30395859,0.30673939,-0.73401796,0.0016717346,-0.14716862
"238",238,"LAYING",0.28383217,-0.48305904,-0.37168328,0.26954478,-0.75428494,-0.097477218
"239",239,"LAYING",0.13932619,-0.17344642,0.44403169,0.36427666,-0.8048647,0.14403351
"240",240,"LAYING",0.27581955,0.0027464285,0.1078819,0.45077589,-0.77169117,0.23656311
"241",241,"LAYING",-0.21670899,0.061995212,0.041773622,0.45779998,-0.77716051,0.2327786
"242",242,"LAYING",-0.01560254,0.10584855,-0.014726119,0.45167239,-0.79860273,0.20589471
"243",243,"LAYING",0.017579328,0.120518,-0.16356653,0.44189198,-0.81776067,0.17855129
"244",244,"LAYING",-0.09629745,0.035647828,-0.14660577,0.43649308,-0.81477122,0.17958361
"245",245,"LAYING",0.12561357,0.0065194871,-0.18362081,0.43354061,-0.80710001,0.18765472
"246",246,"LAYING",0.051371364,-0.16762149,-0.2308957,0.43380479,-0.80351655,0.19219988
"247",247,"LAYING",-0.39811522,-0.16153764,0.14641377,0.44449034,-0.78632161,0.21739001
"248",248,"LAYING",0.017953908,0.17787969,0.18516757,0.46914411,-0.75058451,0.26579492
"249",249,"WALKING",-0.60978207,-0.81252209,-0.21669282,-0.68104788,0.30010432,0.10723582
"250",250,"WALKING",-0.71287871,-0.71339779,0.52911209,-0.6821054,0.30193551,0.10084302
"251",251,"WALKING",-0.69607469,0.35327219,-0.023529806,-0.68813867,0.29744498,0.10094458
"252",252,"WALKING",0.47670077,0.19764797,0.091259576,-0.68890993,0.29838515,0.097085004
"253",253,"WALKING",0.99099549,-0.18502819,0.0022984612,-0.69728658,0.29474984,0.090308611
"254",254,"WALKING",-0.050322336,-0.22605861,-0.46297239,-0.70441377,0.28952798,0.090365284
"255",255,"WALKING",-0.13690458,-0.46209301,0.0059416959,-0.69789993,0.2925417,0.095092656
"256",256,"WALKING",0.34220465,0.67935691,0.31226036,-0.695827,0.29368831,0.096077859
"257",257,"WALKING",-0.092883399,0.97565294,0.31576071,-0.70754928,0.2919864,0.075838924
"258",258,"WALKING",-0.60069696,0.65769909,0.22126272,-0.68889282,0.29827941,0.097394985
"259",259,"WALKING",0.50160962,0.5142099,-0.31849855,-0.69141602,0.29712772,0.095548635
"260",260,"WALKING",0.67456203,0.16074413,-0.099448472,-0.69729805,0.29294262,0.095200917
"261",261,"WALKING",-0.45650993,-0.83304592,0.30052814,-0.6965466,0.29132821,0.10068126
"262",262,"WALKING",0.027452991,-0.4860602,-0.30485946,-0.70112185,0.28980506,0.096039994
"263",263,"WALKING",0.2352282,-0.45414407,-0.58920469,-0.71032462,0.28582479,0.088662201
"264",264,"WALKING",-0.17893043,-0.48237991,0.063735636,-0.7146679,0.28335895,0.086692123
"265",265,"WALKING",-0.20721155,-0.57331588,0.053898458,-0.709921,0.28610361,0.088706845
